xy
"212:112.963874,22.969690==>112.957333503774,22.963813950434"
"213:112.903874,23.149690==>112.897415140903,23.14356482282"
"214:112.543874,22.729690==>112.537384840431,22.723559676565"
"215:112.843874,22.909690==>112.837362850096,22.903820270946"
"216:112.903874,23.509690==>112.897415541733,23.503564861623"
"217:113.083874,22.849690==>113.077333634635,22.843814105529"
"218:112.903874,23.329690==>112.897385534918,23.323559191074"
"219:113.263874,22.849690==>113.257384975454,22.843558862819"
"220:113.203874,23.029690==>113.197362713718,23.023820680563"
"221:113.203874,22.969690==>113.197333502734,22.963814226236"
"222:113.263874,22.969690==>113.25738511474,22.96355884537"
"223:113.023874,23.089690==>113.017385255489,23.083559093314"
"224:112.483874,22.789690==>112.477362986484,22.783819861276"
"225:112.963874,23.089690==>112.957333372418,23.083813933242"
"226:112.903874,22.969690==>112.89738511689,22.963559243471"
"227:113.023874,23.269690==>113.01741527526,23.263564696363"
"228:112.963874,23.449690==>112.957332978461,23.443813881721"
"229:112.843874,23.569690==>112.837332847732,23.563813726599"
"230:112.903874,23.029690==>112.897415007274,23.023564809867"
"231:113.263874,22.909690==>113.257414875788,22.90356437887"
"232:113.263874,23.029690==>113.257415009445,23.023564391783"
"233:112.603874,22.729690==>112.597333768082,22.723813571169"
"234:112.423874,22.729690==>112.417384841145,22.723559809258"
"235:113.083874,22.969690==>113.077333503253,22.963814088338"
"236:113.023874,23.029690==>113.017415007999,23.023564670499"
"237:113.323874,22.789690==>113.317362990108,22.783820787627"
"238:113.083874,23.149690==>113.077362575233,23.143820560894"
"239:112.903874,22.849690==>112.897384977586,22.843559260955"
"240:113.023874,23.329690==>113.01738553418,23.323559058415"
"241:112.843874,23.149690==>112.837362574163,23.143820296315"
"242:112.963874,23.329690==>112.957333109761,23.323813898885"
"243:113.023874,22.909690==>113.017414874354,22.903564657553"
"244:112.783874,23.209690==>112.777385396289,23.203559341195"
"245:112.903874,23.389690==>112.897415408132,23.383564848698"
"246:113.023874,22.849690==>113.017384976873,22.843559128249"
"247:112.783874,22.909690==>112.777414872914,22.903564936261"
"248:112.843874,23.449690==>112.837332979008,23.443813743765"
"249:113.203874,23.149690==>113.197362575765,23.143820693193"
"250:112.963874,23.389690==>112.957362298743,23.383820453899"
"251:112.903874,23.449690==>112.897385674298,23.443559173627"
"252:113.203874,23.209690==>113.197333240016,23.203814191907"
"253:113.083874,23.089690==>113.077333371891,23.083814071157"
"254:112.783874,22.729690==>112.777384839009,22.72355941116"
"255:112.963874,23.209690==>112.95733324108,23.203813916059"
"256:112.603874,22.849690==>112.597333636706,22.843813553923"
"257:112.723874,22.849690==>112.717333636185,22.843813691833"
"258:112.783874,22.789690==>112.777414739272,22.783564923273"
"259:112.843874,23.089690==>112.837333372947,23.08381379532"
"260:112.723874,22.909690==>112.71736284957,22.903820138633"
"261:112.843874,22.849690==>112.837333635667,22.843813829738"
"262:113.083874,23.029690==>113.077362713192,23.023820548247"
"263:113.143874,22.969690==>113.137385115455,22.963558978077"
"264:113.143874,23.089690==>113.137385254766,23.083558960625"
"265:112.903874,22.909690==>112.897414873635,22.903564796904"
"266:113.083874,23.209690==>113.077333240547,23.203814053986"
"267:112.963874,23.269690==>112.957362436725,23.263820441255"
"268:113.083874,22.909690==>113.077362851141,22.903820535591"
"269:112.843874,23.029690==>112.837362712134,23.023820283635"
"270:112.903874,23.569690==>112.897385813698,23.56355915619"
"271:112.723874,22.729690==>112.717333767567,22.723813709068"
"272:112.963874,23.029690==>112.957362712664,23.023820415938"
"273:112.663874,22.789690==>112.657414738555,22.783565062619"
"274:113.083874,22.789690==>113.077362989082,22.783820522925"
"275:112.663874,22.849690==>112.657384979016,22.843559526348"
"276:113.203874,22.789690==>113.197362989596,22.783820655273"
"277:112.723874,22.789690==>112.717362987529,22.783820125917"
"278:113.263874,22.789690==>113.257414742121,22.783564365948"
"279:113.743874,22.609690==>113.737384694171,22.603558366717"
"280:113.983874,22.789690==>113.977414746339,22.783563530142"
"281:113.923874,22.789690==>113.917362992641,22.783821449488"
"282:113.863874,22.669690==>113.857414611934,22.663563656579"
"283:114.283874,22.789690==>114.277362994138,22.783821846676"
"284:113.923874,22.669690==>113.91736313053,22.663821436927"
"285:114.283874,22.669690==>114.27736313201,22.663821834164"
"286:113.803874,22.729690==>113.797333763019,22.723814949886"
"287:114.283874,22.609690==>114.277333892522,22.603815518298"
"288:114.523874,22.549690==>114.51736327084,22.543822086529"
"289:113.863874,22.789690==>113.85741474564,22.783563669428"
"290:113.743874,22.489690==>113.737384554967,22.483558384146"
"291:113.743874,22.669690==>113.73741461124,22.663563795855"
"292:114.523874,22.429690==>114.517363408683,22.423822074032"
"293:114.283874,22.729690==>114.277333761045,22.723815501205"
"294:113.803874,22.669690==>113.797363130033,22.663821304527"
"295:114.223874,22.729690==>114.217384830632,22.723557818222"
"296:114.103874,22.549690==>114.097414479589,22.543563365221"
"297:114.223874,22.609690==>114.217384691432,22.603557835596"
"298:113.803874,22.369690==>113.797334157437,22.363815001332"
"299:113.983874,22.729690==>113.97738483201,22.723558083772"
"300:114.583874,22.489690==>114.577384550234,22.483557454541"
"301:113.863874,22.489690==>113.857384554285,22.483558251363"
"302:114.163874,22.669690==>114.157363131519,22.663821701746"
"303:113.923874,22.729690==>113.917333762523,22.723815087724"
"304:113.803874,22.609690==>113.797333894473,22.603814967025"
"305:113.803874,22.429690==>113.797363405797,22.423821279345"
"306:114.463874,22.669690==>114.457414615378,22.66356296029"
"307:114.163874,22.609690==>114.157333893007,22.603815380489"
"308:114.583874,22.669690==>114.577414616061,22.66356282105"
"309:113.863874,22.369690==>113.857384415106,22.363558268789"
"310:113.803874,22.549690==>113.79736326792,22.543821291941"
"311:113.863874,22.609690==>113.857384693484,22.603558233946"
"312:113.743874,22.729690==>113.737384833395,22.723558349297"
"313:113.923874,22.609690==>113.917333893983,22.603815104852"
"314:114.463874,22.609690==>114.457384690074,22.60355757"
"315:114.523874,22.489690==>114.517334023065,22.483815810979"
"316:113.983874,22.669690==>113.977414612626,22.66356351731"
"317:113.863874,22.729690==>113.857384832701,22.723558216538"
"318:114.403874,22.609690==>114.397333892039,22.603815656102"
"319:113.983874,22.609690==>113.977384692798,22.603558101169"
"320:114.343874,22.609690==>114.337384690752,22.603557702801"
"321:114.103874,22.609690==>114.097384692114,22.603557968385"
"322:113.863874,22.309690==>113.857414210758,22.30356361798"
"323:114.583874,22.549690==>114.57741448231,22.54356280829"
"324:113.923874,22.549690==>113.917363268411,22.543821424357"
"326:114.043874,22.609690==>114.037333893494,22.603815242673"
"325:114.103874,22.669690==>114.097414613317,22.663563378046"
"327:114.043874,22.549690==>114.0373632689,22.54382155678"
"328:114.043874,22.669690==>114.037363131025,22.663821569334"
"329:114.343874,22.669690==>114.337414614692,22.663563099536"
"330:114.103874,22.729690==>114.09738483132,22.723557951"
"331:114.223874,22.789690==>114.21741474773,22.783563251588"
"332:114.343874,22.789690==>114.337414748423,22.78356311232"
"333:113.923874,22.489690==>113.917334025461,22.483815121989"
"334:113.743874,22.429690==>113.737414343811,22.423563770098"
"335:114.223874,22.669690==>114.217414614006,22.663563238788"
"336:113.983874,22.549690==>113.977414478905,22.543563504468"
"337:114.583874,22.609690==>114.577384689397,22.603557437193"
"338:113.863874,22.429690==>113.857414344493,22.423563630855"
"339:113.803874,22.489690==>113.797334025946,22.483814984174"
"340:114.343874,22.729690==>114.337384829946,22.723557685439"
"341:114.043874,22.729690==>114.037333762028,22.723815225557"
"342:113.863874,22.549690==>113.857414478218,22.543563643722"
"343:114.523874,22.609690==>114.517333891557,22.603815793899"
"344:114.403874,22.669690==>114.3973631325,22.663821966588"
"345:114.403874,22.729690==>114.397333760556,22.72381563902"
"346:113.683874,23.029690==>113.677362715803,23.023821209884"
"347:113.623874,22.969690==>113.617385112606,22.963558447215"
"348:113.863874,23.029690==>113.857415013025,23.023563695099"
"349:113.923874,23.029690==>113.917362716834,23.023821474581"
"350:114.103874,22.969690==>114.097385109788,22.963557916256"
"351:113.683874,23.089690==>113.677333369284,23.083814760644"
"352:114.163874,22.789690==>114.157362993641,22.783821714274"
"353:114.103874,22.909690==>114.097414880744,22.903563403669"
"354:113.983874,23.029690==>113.977415013735,23.02356355578"
"355:113.683874,22.789690==>113.677362991633,22.783821184726"
"356:113.623874,22.909690==>113.617414877923,22.903563960891"
"357:114.043874,23.029690==>114.037362717347,23.023821606939"
"358:113.983874,22.849690==>113.97738497124,22.843558066384"
"359:114.103874,23.029690==>114.097415014444,23.023563416467"
"360:114.103874,22.849690==>114.097384970545,22.843557933624"
"361:114.043874,23.089690==>114.037333367742,23.083815174264"
"362:113.683874,22.849690==>113.677333632087,22.8438147949"
"363:113.563874,23.029690==>113.557362715285,23.023821077545"
"364:113.743874,22.789690==>113.73741474494,22.78356380872"
"365:114.043874,22.969690==>114.037333499152,22.963815191352"
"366:113.683874,22.909690==>113.677362853722,22.90382119731"
"367:113.623874,23.089690==>113.617385251893,23.08355842981"
"368:113.863874,22.969690==>113.857385111194,22.963558181748"
"369:113.743874,22.969690==>113.737385111899,22.963558314484"
"370:114.043874,22.849690==>114.037333630581,22.84381520845"
"371:113.803874,23.029690==>113.79736271632,23.02382134223"
"372:113.803874,22.789690==>113.797362992138,22.783821317104"
"373:113.923874,23.089690==>113.917333368254,23.083815036397"
"374:114.223874,22.849690==>114.217384969851,22.843557800858"
"375:114.103874,22.789690==>114.097414747035,22.783563390862"
"376:113.923874,22.849690==>113.917333631081,22.843815070606"
"377:113.923874,22.909690==>113.917362854742,22.903821462039"
"378:114.223874,22.909690==>114.217414881445,22.903563264379"
"379:113.623874,22.849690==>113.617384973339,22.843558464629"
"380:113.803874,22.969690==>113.797333500166,22.963814915635"
"381:113.923874,22.969690==>113.917333499658,22.963815053497"
"382:114.043874,22.789690==>114.037362993142,22.783821581878"
"383:113.983874,22.909690==>113.977414880042,22.903563542966"
"384:113.743874,22.909690==>113.737414878631,22.903563821576"
"385:113.683874,22.969690==>113.677333500676,22.963814777767"
"386:114.223874,22.969690==>114.217385109088,22.963557783502"
"387:113.983874,23.089690==>113.977385249758,23.083558031635"
"388:113.803874,22.849690==>113.797333631583,22.843814932756"
"389:113.623874,23.029690==>113.617415011598,23.023563973754"
"390:114.163874,22.909690==>114.157362855754,22.903821726793"
"391:114.043874,22.909690==>114.037362855249,22.903821594413"
"392:113.863874,23.089690==>113.857385250468,23.083558164366"
"393:113.743874,23.089690==>113.73738525118,23.083558297091"
"394:113.743874,23.029690==>113.737415012313,23.023563834424"
"395:113.983874,22.969690==>113.97738511049,22.963558049005"
"396:114.163874,22.729690==>114.157333761535,22.723815363384"
"397:113.803874,22.909690==>113.797362854233,22.903821329672"
"398:113.743874,22.849690==>113.737384972637,22.843558331886"
"399:113.863874,22.909690==>113.857414879337,22.903563682268"
"400:113.563874,22.969690==>113.557333501188,22.963814639893"
"401:113.803874,23.089690==>113.797333368768,23.083814898523"
"402:114.163874,22.969690==>114.157333498648,22.963815329202"
"403:113.863874,22.849690==>113.857384971938,22.843558199138"
"404:114.163874,22.849690==>114.157333630082,22.843815346288"
