OBJECTID,x,y,ok0,max,max_timestamp
1,114.383874,22.70969,1,693,1556448853
1,114.003874,22.52969,1,608,1556448575
1,114.023874,22.62969,1,1619,1556455047
1,113.883874,22.64969,1,449,1556448641
1,114.443874,22.64969,1,441,1556448986
1,114.203874,22.64969,1,3019,1556449070
1,113.823874,22.72969,1,3140,1556447838
1,114.363874,22.74969,1,622,1556448959
1,114.483874,22.50969,0,3,1556448999
1,114.243874,22.68969,1,1616,1556448044
1,113.963874,22.52969,1,1417,1556505821
1,113.903874,22.60969,1,498,1557545024
1,113.943874,22.50969,1,2366,1556454691
1,114.303874,22.58969,1,133,1557545945
1,114.443874,22.62969,1,542,1556449657
1,113.843874,22.76969,1,3055,1556449783
1,113.843874,22.78969,1,1438,1556450754
1,114.303874,22.66969,1,600,1557544104
1,114.043874,22.52969,1,2980,1556453741
1,114.203874,22.56969,1,134,1557545377
1,113.863874,22.54969,1,53,1556451021
1,114.123874,22.64969,1,1456,1556446060
1,114.363874,22.68969,1,1605,1556446069
1,113.963874,22.66969,1,136,1557545104
1,113.943874,22.48969,1,1127,1556447510
1,114.403874,22.62969,1,122,1556447232
1,114.003874,22.58969,1,855,1556446272
1,114.223874,22.72969,1,1164,1556450269
1,114.283874,22.78969,1,175,1556447536
1,114.423874,22.60969,1,129,1556447538
1,114.003874,22.74969,1,678,1557544161
1,113.723874,22.48969,0,0,1556449309
1,114.043874,22.58969,1,136,1556502862
1,113.883874,22.50969,1,444,1556447284
1,114.103874,22.66969,1,295,1556446324
1,114.283874,22.58969,1,568,1556447567
1,113.743874,22.70969,0,0,1556450556
1,114.343874,22.74969,1,159,1556446336
1,113.823874,22.48969,0,1,1556447586
1,113.803874,22.62969,1,168,1556502883
1,114.063874,22.72969,1,1887,1556447634
1,113.843874,22.30969,0,0,1556450567
1,114.283874,22.72969,1,2661,1556447645
1,114.523874,22.62969,0,0,1556450572
1,113.903874,22.58969,1,2955,1556448616
1,113.743874,22.56969,0,9,1556447657
1,113.823874,22.38969,0,0,1556450577
1,114.423874,22.64969,1,570,1556448629
1,113.823874,22.58969,0,9,1556448631
1,113.803874,22.48969,0,2,1556448919
1,114.643874,22.50969,0,0,1556450584
1,114.023874,22.68969,1,1858,1556453849
1,114.443874,22.56969,0,7,1556504255
1,113.823874,22.64969,1,953,1557544274
1,114.003874,22.56969,1,469,1556448683
1,113.723874,22.70969,0,0,1556450601
1,114.343874,22.64969,0,2,1556455094
1,113.863874,22.46969,0,2,1556503046
1,113.783874,22.50969,0,1,1556450334
1,114.043874,22.70969,1,1807,1556450615
1,114.223874,22.56969,1,319,1556449021
1,113.823874,22.30969,0,0,1556449376
1,113.823874,22.32969,0,0,1556449378
1,113.743874,22.52969,0,0,1556450341
1,113.763874,22.68969,0,0,1556450628
1,114.043874,22.60969,1,2083,1556449054
1,113.923874,22.82969,0,4,1556449388
1,114.583874,22.66969,0,0,1556450635
1,113.823874,22.76969,1,2619,1556448810
1,113.963874,22.76969,1,659,1556449099
1,114.583874,22.58969,0,1,1556447860
1,113.983874,22.74969,1,262,1557545993
1,114.543874,22.58969,1,77,1556504182
1,114.203874,22.68969,1,227,1557546485
1,113.783874,22.60969,0,0,1556450363
1,113.803874,22.72969,1,2889,1557544779
1,114.543874,22.62969,0,0,1556450645
1,114.563874,22.46969,0,0,1556449405
1,113.983874,22.68969,1,1768,1557546199
1,114.263874,22.60969,1,301,1556450368
1,114.503874,22.52969,1,77,1557546076
1,114.583874,22.56969,0,0,1556450661
1,113.783874,22.68969,1,1272,1556504215
1,113.903874,22.64969,1,208,1556504509
1,114.543874,22.60969,1,99,1556447969
1,114.243874,22.72969,1,2127,1556449212
1,113.803874,22.68969,1,3406,1557545227
1,113.763874,22.44969,0,0,1556449421
1,114.043874,22.54969,1,1994,1556504532
1,113.843874,22.66969,1,1156,1557544882
1,113.923874,22.54969,1,2552,1556449250
1,113.903874,22.62969,0,4,1556455095
1,113.783874,22.74969,1,1205,1557546168
1,113.803874,22.70969,1,3362,1557545884
1,113.843874,22.74969,1,2002,1556448996
1,113.823874,22.50969,0,0,1556450683
1,114.503874,22.56969,1,180,1557544932
1,113.803874,22.36969,0,0,1556450696
1,114.243874,22.56969,1,879,1556449310
1,114.123874,22.66969,1,1281,1556449032
1,113.743874,22.50969,0,0,1556450701
1,114.123874,22.60969,1,3872,1556454754
1,113.843874,22.54969,0,0,1556450708
1,114.023874,22.66969,1,3892,1556450430
1,113.763874,22.54969,0,0,1556450712
1,114.303874,22.60969,1,310,1557546507
1,114.183874,22.62969,1,1076,1556449474
1,113.783874,22.62969,0,1,1556504771
1,114.043874,22.62969,1,2953,1556449483
1,113.743874,22.48969,0,0,1556450734
1,114.583874,22.64969,0,2,1556503565
1,114.423874,22.70969,1,408,1556449498
1,114.563874,22.52969,0,0,1556450741
1,114.243874,22.76969,1,315,1556449501
1,114.583874,22.60969,0,7,1556504549
1,113.903874,22.44969,0,15,1556504832
1,114.303874,22.64969,0,4,1556450472
1,113.863874,22.72969,1,2047,1557545025
1,113.903874,22.52969,1,782,1556454698
1,114.343874,22.78969,1,523,1556450763
1,114.223874,22.58969,0,5,1556504573
1,114.203874,22.60969,1,345,1557546231
1,114.323874,22.62969,0,3,1556450773
1,113.883874,22.46969,1,45,1556505072
1,114.143874,22.58969,1,1526,1556449535
1,113.863874,22.38969,0,0,1556450783
1,114.063874,22.64969,1,3503,1556454775
1,114.623874,22.50969,0,0,1556450795
1,113.723874,22.64969,0,1,1556503850
1,114.343874,22.62969,0,0,1556455436
1,113.863874,22.64969,1,896,1556453865
1,114.283874,22.68969,1,1560,1556453867
1,114.003874,22.76969,0,3,1556454842
1,114.103874,22.56969,1,2398,1556453985
1,114.223874,22.74969,1,683,1556455124
1,113.823874,22.68969,1,3501,1556455126
1,114.503874,22.50969,0,0,1556450852
1,114.323874,22.70969,1,1204,1556453887
1,114.183874,22.56969,1,1012,1556453974
1,114.443874,22.58969,0,0,1556450870
1,113.743874,22.66969,0,0,1556450875
1,114.163874,22.68969,1,1794,1556453894
1,113.963874,22.64969,1,164,1556455034
1,114.263874,22.66969,1,243,1556454074
1,114.603874,22.48969,0,13,1556449653
1,113.903874,22.70969,1,464,1557545298
1,113.863874,22.62969,1,2083,1557545300
1,113.803874,22.76969,1,3132,1556454929
1,113.983874,22.64969,1,44,1556450631
1,114.623874,22.52969,0,0,1556450917
1,114.403874,22.64969,1,89,1556454910
1,114.463874,22.56969,1,44,1557546305
1,114.243874,22.58969,1,436,1556450931
1,113.863874,22.50969,1,107,1556504947
1,114.143874,22.68969,1,2112,1556449693
1,113.923874,22.76969,1,2134,1556455325
1,113.803874,22.34969,0,0,1556450944
1,113.883874,22.78969,1,2689,1556450946
1,114.563874,22.56969,0,21,1556450668
1,114.063874,22.58969,1,313,1557546608
1,114.123874,22.68969,1,1802,1556450677
1,114.503874,22.48969,0,0,1556449718
1,114.143874,22.56969,1,2446,1556450681
1,114.043874,22.50969,1,476,1556454968
1,113.983874,22.76969,1,64,1557546340
1,113.763874,22.42969,0,0,1556450698
1,114.363874,22.64969,0,2,1556450979
1,113.843874,22.36969,0,0,1556450701
1,114.143874,22.66969,1,1483,1557548505
1,113.703874,22.46969,0,0,1556450992
1,114.043874,22.64969,1,3983,1556454771
1,114.123874,22.58969,1,2291,1556453783
1,114.263874,22.76969,1,261,1556451006
1,114.423874,22.66969,0,5,1556451009
1,113.743874,22.62969,0,1,1556505292
1,113.883874,22.76969,1,1547,1557545436
1,114.363874,22.70969,1,719,1557546708
1,113.823874,22.56969,0,0,1556451032
1,114.603874,22.60969,0,0,1556449794
1,113.883874,22.62969,1,678,1557546425
1,114.583874,22.46969,0,0,1556451039
1,113.763874,22.56969,0,11,1556505350
1,113.923874,22.62969,1,171,1557545469
1,114.583874,22.62969,0,8,1556504111
1,114.203874,22.62969,1,957,1557545478
1,113.923874,22.64969,1,1503,1557546749
1,114.003874,22.64969,1,1216,1556453808
1,114.543874,22.52969,0,5,1556505376
1,113.863874,22.58969,1,2851,1557546761
1,113.843874,22.32969,0,0,1556451087
1,114.303874,22.78969,1,925,1557546766
1,113.863874,22.82969,1,554,1557546480
1,113.923874,22.56969,1,2063,1556451093
1,114.323874,22.64969,0,0,1556450815
1,114.143874,22.54969,1,2353,1557548806
1,113.903874,22.56969,1,3690,1556450819
1,114.323874,22.68969,1,1164,1556451102
1,113.883874,22.66969,1,939,1557546829
1,114.403874,22.70969,1,960,1556449865
1,114.263874,22.64969,1,193,1557546552
1,114.223874,22.76969,1,46,1557545578
1,114.103874,22.70969,1,1568,1557545587
1,114.243874,22.78969,0,0,1556451117
1,114.403874,22.76969,1,1494,1556449877
1,114.343874,22.76969,1,663,1557545599
1,113.963874,22.78969,1,533,1557546868
1,114.223874,22.78969,0,2,1556451135
1,113.783874,22.70969,1,1471,1557545609
1,114.643874,22.52969,0,0,1556449899
1,114.523874,22.54969,1,53,1557546591
1,114.343874,22.66969,1,222,1557548520
1,114.123874,22.54969,1,3857,1556449911
1,113.803874,22.44969,0,0,1556451160
1,114.063874,22.52969,1,3283,1556451162
1,114.603874,22.52969,0,0,1556449923
1,114.563874,22.44969,0,0,1556451170
1,114.283874,22.70969,1,1113,1556450892
1,114.523874,22.42969,0,0,1556449932
1,114.143874,22.70969,1,1470,1557545668
1,113.823874,22.54969,0,0,1556451182
1,114.603874,22.50969,0,0,1556451189
1,114.523874,22.50969,0,0,1556451196
1,114.223874,22.70969,1,1254,1557546938
1,113.803874,22.40969,0,0,1556451212
1,113.743874,22.44969,0,0,1556451217
1,113.923874,22.46969,1,108,1556505539
1,114.003874,22.70969,1,745,1557548831
1,114.043874,22.56969,1,1875,1556455217
1,114.063874,22.54969,1,2687,1556505546
1,114.243874,22.70969,1,2112,1557546990
1,114.083874,22.54969,1,3713,1556454741
1,113.843874,22.62969,1,1760,1557545733
1,113.863874,22.66969,1,966,1557546710
1,113.803874,22.42969,0,0,1556451273
1,114.483874,22.48969,0,0,1556451279
1,113.843874,22.52969,0,2,1556505592
1,114.323874,22.78969,1,949,1557545747
1,114.283874,22.56969,0,45,1556505315
1,114.323874,22.56969,0,0,1556451291
1,114.083874,22.52969,1,2076,1556451293
1,113.783874,22.42969,0,0,1556451015
1,113.863874,22.56969,1,2005,1556450055
1,114.123874,22.62969,1,2106,1557545763
1,114.523874,22.52969,0,7,1556505373
1,113.943874,22.62969,1,748,1557546751
1,114.363874,22.62969,0,13,1556451033
1,114.223874,22.62969,1,994,1556450074
1,113.763874,22.50969,0,0,1556451317
1,113.783874,22.38969,0,0,1556451039
1,114.583874,22.54969,0,16,1556450079
1,114.103874,22.62969,1,1566,1556455045
1,114.303874,22.62969,1,37,1557546786
1,113.983874,22.78969,0,13,1556451050
1,114.143874,22.60969,1,2852,1557546790
1,113.923874,22.52969,1,3463,1557545817
1,113.823874,22.28969,0,0,1556449077
1,113.823874,22.42969,0,0,1556450324
1,113.863874,22.32969,0,0,1556450329
1,113.923874,22.74969,1,1588,1556444153
1,114.403874,22.74969,1,1075,1556443942
1,114.103874,22.68969,1,866,1557548836
1,114.083874,22.62969,1,2438,1557547576
1,114.023874,22.70969,1,393,1557547578
1,114.503874,22.42969,0,0,1556450336
1,113.823874,22.74969,1,2560,1556443688
1,114.483874,22.44969,0,1,1556448337
1,114.603874,22.56969,0,0,1556450342
1,114.063874,22.74969,1,800,1556444828
1,114.083874,22.58969,1,147,1556443698
1,114.363874,22.66969,1,293,1556444181
1,113.863874,22.42969,0,2,1556445202
1,114.083874,22.68969,1,1107,1556443707
1,114.443874,22.68969,0,23,1556442747
1,113.823874,22.44969,0,0,1556450349
1,113.723874,22.72969,0,1,1556444712
1,113.863874,22.40969,0,1,1556444565
1,113.823874,22.66969,1,2559,1556443606
1,114.503874,22.64969,1,33,1557545925
1,113.903874,22.80969,1,1932,1556442762
1,114.383874,22.56969,0,0,1556450355
1,114.063874,22.68969,1,1468,1556444211
1,113.803874,22.74969,1,2911,1556443740
1,113.783874,22.44969,0,0,1556450361
1,114.523874,22.64969,0,11,1556444024
